Attrition,BusinessTravel,Education,EducationField,Gender,JobRole,MaritalStatus,OverTime,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,Satisfaction-Class,ChangeCompanyRate-Class,YearsInCurrentRole-Class,TotalWorkingYears-Class,PercentSalaryHike-Class,DistanceFromHome-Class,Age-Class,MonthlyIncome-Class
No_Attrition,Travel_Rarely,Master,Medical,Male,Research Director,Single,No_OverTime,Tre_Performance,LivelloZero,Due_Training,Satisfaction[12; 14],ChangeCompanyRate[8.03; 9.25],YearsInCurrentRole[7; 10],TotalWorkingYears[19; 31],PercentSalaryHike[14; 18],DistanceFromHome[7; 11],Age[52.0; 60.0],MonthlyIncome[6272.0; 9419.0]
No_Attrition,Travel_Rarely,Below College,Life Sciences,Male,Manager,Divorced,Si_OverTime,Tre_Performance,LivelloUno,Tre_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[19; 31],PercentSalaryHike[14; 18],DistanceFromHome[1; 6],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Frequently,Bachelor,Life Sciences,,Sales Executive,Divorced,Si_OverTime,Tre_Performance,LivelloUno,Quattro_Training,Satisfaction[15; 16],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[3; 6],TotalWorkingYears[0; 10],PercentSalaryHike[21; 25],DistanceFromHome[12; 18],nan,MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,Master,Technical Degree,Male,Research Scientist,Single,No_OverTime,Tre_Performance,LivelloZero,Uno_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[11; 18],PercentSalaryHike[14; 18],DistanceFromHome[1; 6],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,College,Life Sciences,Female,Laboratory Technician,Single,No_OverTime,Tre_Performance,LivelloZero,,Satisfaction[15; 16],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[7; 11],nan,MonthlyIncome[6272.0; 9419.0]
No_Attrition,Travel_Rarely,Bachelor,Life Sciences,Male,Research Scientist,Divorced,No_OverTime,Tre_Performance,LivelloTre,Due_Training,Satisfaction[17; 20],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[7; 11],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,,College,Life Sciences,Male,Sales Representative,Married,No_OverTime,Tre_Performance,LivelloUno,Zero_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[3; 6],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[1; 6],Age[25.0; 32.0],MonthlyIncome[6272.0; 9419.0]
No_Attrition,,College,Life Sciences,Female,Sales Executive,Divorced,No_OverTime,Tre_Performance,LivelloUno,Due_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[11; 18],PercentSalaryHike[14; 18],DistanceFromHome[7; 11],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,Bachelor,Life Sciences,,Sales Executive,Married,No_OverTime,Tre_Performance,LivelloUno,Tre_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[19; 31],PercentSalaryHike[11; 13],DistanceFromHome[1; 6],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Frequently,Below College,Medical,Male,Sales Executive,Divorced,Si_OverTime,Tre_Performance,LivelloDue,,Satisfaction[17; 20],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[3; 6],TotalWorkingYears[0; 10],PercentSalaryHike[19; 20],DistanceFromHome[1; 6],Age[18.0; 24.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Frequently,Master,Life Sciences,Female,Laboratory Technician,Divorced,No_OverTime,Tre_Performance,LivelloUno,Tre_Training,Satisfaction[15; 16],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[1; 6],Age[18.0; 24.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,College,Life Sciences,Male,Research Scientist,Single,Si_OverTime,Tre_Performance,LivelloZero,Due_Training,Satisfaction[15; 16],ChangeCompanyRate[3.03; 5.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[12; 18],nan,MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,Bachelor,Life Sciences,Male,Laboratory Technician,Divorced,No_OverTime,Tre_Performance,LivelloUno,Tre_Training,Satisfaction[10; 11],ChangeCompanyRate[8.03; 9.25],YearsInCurrentRole[7; 10],TotalWorkingYears[19; 31],PercentSalaryHike[14; 18],DistanceFromHome[7; 11],Age[52.0; 60.0],nan
Si_Attrition,Travel_Rarely,Bachelor,Life Sciences,,Sales Executive,Married,No_OverTime,,LivelloZero,,Satisfaction[10; 11],ChangeCompanyRate[6.03; 7.25],YearsInCurrentRole[3; 6],TotalWorkingYears[19; 31],PercentSalaryHike[11; 13],DistanceFromHome[7; 11],Age[25.0; 32.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,Bachelor,Life Sciences,Male,Manufacturing Director,Married,No_OverTime,Tre_Performance,LivelloUno,Cinque_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[23; 29],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,Bachelor,Medical,,Research Scientist,Married,Si_OverTime,Quattro_Performance,LivelloUno,Tre_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[11; 18],PercentSalaryHike[21; 25],DistanceFromHome[1; 6],Age[25.0; 32.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,,Bachelor,Medical,Male,Manager,Single,No_OverTime,Tre_Performance,LivelloZero,Tre_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[11; 18],PercentSalaryHike[11; 13],DistanceFromHome[1; 6],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,College,Life Sciences,Female,Sales Executive,Single,No_OverTime,Tre_Performance,LivelloZero,Quattro_Training,Satisfaction[12; 14],ChangeCompanyRate[8.03; 9.25],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[14; 18],DistanceFromHome[23; 29],Age[52.0; 60.0],MonthlyIncome[9547.0; 14411.0]
No_Attrition,Travel_Rarely,College,Other,Male,Laboratory Technician,Single,No_OverTime,,LivelloZero,,Satisfaction[17; 20],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[12; 18],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,Travel_Rarely,Bachelor,Technical Degree,Male,Research Director,Married,No_OverTime,Tre_Performance,LivelloUno,Tre_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[11; 13],TotalWorkingYears[11; 18],PercentSalaryHike[11; 13],DistanceFromHome[1; 6],Age[33.0; 43.0],nan
No_Attrition,Travel_Rarely,Bachelor,Medical,Female,Healthcare Representative,Single,No_OverTime,Quattro_Performance,LivelloZero,Tre_Training,Satisfaction[15; 16],ChangeCompanyRate[8.03; 9.25],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[1; 6],Age[33.0; 43.0],MonthlyIncome[1009.0; 6244.0]
No_Attrition,,Master,Life Sciences,Female,Sales Executive,Married,No_OverTime,,LivelloUno,Tre_Training,Satisfaction[10; 11],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[11; 13],DistanceFromHome[7; 11],Age[33.0; 43.0],nan
No_Attrition,Travel_Rarely,College,Life Sciences,Male,Sales Representative,Married,No_OverTime,Quattro_Performance,LivelloUno,Quattro_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[19; 20],DistanceFromHome[1; 6],Age[44.0; 51.0],nan
No_Attrition,,Bachelor,Life Sciences,Male,Sales Executive,Divorced,No_OverTime,Quattro_Performance,LivelloDue,Sei_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[7; 10],TotalWorkingYears[11; 18],PercentSalaryHike[11; 13],DistanceFromHome[1; 6],nan,MonthlyIncome[1009.0; 6244.0]
No_Attrition,Non-Travel,Below College,Medical,Male,Sales Representative,Married,No_OverTime,Tre_Performance,LivelloZero,Tre_Training,Satisfaction[12; 14],ChangeCompanyRate[0.03; 2.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[21; 25],DistanceFromHome[7; 11],Age[33.0; 43.0],MonthlyIncome[9547.0; 14411.0]
No_Attrition,Travel_Rarely,Bachelor,Human Resources,Female,Human Resources,Married,No_OverTime,Tre_Performance,LivelloZero,Zero_Training,Satisfaction[12; 14],ChangeCompanyRate[3.03; 5.2],YearsInCurrentRole[0; 2],TotalWorkingYears[0; 10],PercentSalaryHike[14; 18],DistanceFromHome[1; 6],Age[25.0; 32.0],MonthlyIncome[1009.0; 6244.0]
