Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,ChangeCompanyRate,Satisfaction
52.0,No,Travel_Rarely,9,4,Medical,Male,Research Director,Single,8446.0,No,17,3.0,0,20,2.0,7,9.047619047619047,13
36.0,No,Travel_Rarely,1,1,Life Sciences,Male,Manager,Divorced,4834.0,Yes,14,3.0,1,21,3.0,8,1.0454545454545454,14
37.0,No,Travel_Frequently,16,3,Life Sciences,Male,Sales Executive,Divorced,4768.0,Yes,25,3.0,1,7,4.0,5,1.125,16
33.0,No,Travel_Rarely,5,4,Technical Degree,Male,Research Scientist,Single,2799.0,No,14,3.0,0,12,1.0,7,2.076923076923077,12
37.0,No,Travel_Rarely,9,2,Life Sciences,Female,Laboratory Technician,Single,7978.0,No,12,3.0,0,2,2.0,2,1.3333333333333333,16
35.0,No,Travel_Rarely,7,3,Life Sciences,Male,Research Scientist,Divorced,2269.0,No,11,3.0,3,4,2.0,2,1.2,18
27.0,No,Travel_Rarely,4,2,Life Sciences,Male,Sales Representative,Married,8726.0,No,11,3.0,1,6,0.0,3,2.142857142857143,12
37.0,No,Travel_Rarely,8,2,Life Sciences,Female,Sales Executive,Divorced,5731.0,No,18,3.0,1,13,2.0,7,1.0714285714285714,12
42.0,No,Travel_Rarely,1,3,Life Sciences,Male,Sales Executive,Married,5410.0,No,12,3.0,1,19,3.0,7,0.05,14
23.0,No,Travel_Frequently,3,1,Medical,Male,Sales Executive,Divorced,1790.0,Yes,20,3.0,2,6,2.0,5,1.1428571428571428,17
20.0,No,Travel_Frequently,2,4,Life Sciences,Female,Laboratory Technician,Divorced,2323.0,No,13,3.0,1,1,3.0,0,1.5,15
37.0,No,Travel_Rarely,17,2,Life Sciences,Male,Research Scientist,Single,3375.0,Yes,13,3.0,0,10,2.0,2,3.090909090909091,15
52.0,No,Travel_Rarely,9,3,Life Sciences,Male,Laboratory Technician,Divorced,10545.035714285714,No,18,3.0,1,20,3.0,9,8.047619047619047,11
30.0,Yes,Travel_Rarely,9,3,Life Sciences,Male,Sales Executive,Married,2693.0,No,11,3.0,0,25,2.0,5,7.038461538461538,11
35.0,No,Travel_Rarely,29,3,Life Sciences,Male,Manufacturing Director,Married,2690.0,No,13,3.0,1,10,5.0,8,1.0909090909090908,13
28.0,No,Travel_Rarely,1,3,Medical,Male,Research Scientist,Married,3310.0,Yes,21,4.0,1,12,3.0,9,0.07692307692307693,13
39.0,No,Travel_Rarely,5,3,Medical,Male,Manager,Single,3069.0,No,12,3.0,0,14,3.0,10,2.066666666666667,13
59.0,No,Travel_Rarely,26,2,Life Sciences,Female,Sales Executive,Single,13726.0,No,15,3.0,0,6,4.0,2,8.142857142857142,12
34.0,No,Travel_Rarely,12,2,Other,Male,Laboratory Technician,Single,2008.0,No,13,3.0,0,5,2.0,2,1.1666666666666667,18
35.0,No,Travel_Rarely,1,3,Technical Degree,Male,Research Director,Married,5986.83193277311,No,13,3.0,1,15,3.0,12,1.0625,13
37.0,No,Travel_Rarely,4,3,Medical,Female,Healthcare Representative,Single,3452.0,No,12,4.0,0,10,3.0,2,9.090909090909092,15
38.0,No,Travel_Rarely,8,4,Life Sciences,Female,Sales Executive,Married,5986.83193277311,No,13,3.0,1,8,3.0,2,2.111111111111111,10
